,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
31,02M051,PS 051 ELIAS HOWE,M051,,,,,,24,1,24,24,24,43,2,21.5,21,22,,,,,,,,,,,23,1,23,23,23,49,2,24.5,24,25,,,,,,,,,,,32,1,32,32,32,30,1,30,30,30,,,,,,,,,,,29,1,29,29,29,30,1,30,30,30,,,,,,,,,,,32,1,32,32,32,32,1,32,32,32,,,,,,,,,,,30,1,30,30,30,31,1,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,02M059,PS 059 BEEKMAN HILL INTERNATIONAL,M059,,,,,,24,1,24,24,24,94,4,23.5,23,25,,,,,,,,,,,26,1,26,26,26,77,3,25.66666,25,26,,,,,,,,,,,28,1,28,28,28,84,3,28,28,28,,,,,,,,,,,25,1,25,25,25,75,3,25,23,27,,,,,,,,,,,24,1,24,24,24,26,1,26,26,26,,,,,,,,,,,27,1,27,27,27,56,2,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,02M077,PS 77 LOWER LAB SCHOOL,M077,50,2,25,25,25,,,,,,,,,,,,,,,,60,2,30,30,30,,,,,,,,,,,,,,,,64,2,32,32,32,,,,,,,,,,,,,,,,64,2,32,32,32,,,,,,,,,,,,,,,,63,2,31.5,31,32,,,,,,,,,,,,,,,,57,2,28.5,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,02M089,PS 89,M089,,,,,,24,1,24,24,24,73,3,24.33333,24,25,,,,,,,,,,,23,1,23,23,23,41,2,20.5,20,21,,,,,,,,,,,26,1,26,26,26,27,1,27,27,27,,,,,,,,,,,31,1,31,31,31,30,1,30,30,30,,,,,,,,,,,51,2,25.5,25,26,26,1,26,26,26,,,,,,,,,,,,,,,,45,2,22.5,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,02M104,JHS 104 SIMON BARUCH,M104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,3,27,22,30,279,9,31,26,33,117,4,29.25,26,32,255,8,31.875,30,33,120,4,30,29,32,255,8,31.875,30,33,,,,,,23,3,7.666666,<6,12,,,,,,,,,,,,,,,
36,02M111,PS 111 ADOLPH S OCHS,M111,19,1,19,19,19,19,1,19,19,19,19,1,19,19,19,,,,,,14,1,14,<15,<15,31,1,31,31,31,,,,,,,,,,,26,1,26,26,26,25,1,25,25,25,24,1,24,24,24,,,,,,20,1,20,20,20,29,1,29,29,29,,,,,,,,,,,11,1,11,<15,<15,23,1,23,23,23,17,1,17,17,17,,,,,,,,,,,24,1,24,24,24,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,<6,<6,10,1,10,10,10,,,,,,,,,,,,,,,
37,02M114,EAST SIDE MIDDLE SCHOOL,M114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,28,27,29,92,3,30.66666,29,32,54,2,27,27,27,95,3,31.66666,31,32,56,2,28,28,28,96,3,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,
38,02M116,PS 116 MARY LINDLEY MURRAY,M116,,,,,,24,1,24,24,24,62,3,20.66666,17,23,,,,,,,,,,,28,1,28,28,28,56,2,28,28,28,,,,,,,,,,,22,1,22,22,22,45,2,22.5,22,23,,,,,,,,,,,29,1,29,29,29,55,2,27.5,27,28,,,,,,,,,,,25,1,25,25,25,50,2,25,25,25,,,,,,,,,,,25,1,25,25,25,69,3,23,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,02M124,PS 124 YUNG WING,M124,25,1,25,25,25,25,1,25,25,25,50,2,25,25,25,,,,,,29,1,29,29,29,30,1,30,30,30,59,2,29.5,28,31,,,,,,32,1,32,32,32,29,1,29,29,29,52,2,26,26,26,,,,,,32,1,32,32,32,26,1,26,26,26,45,2,22.5,22,23,,,,,,28,1,28,28,28,22,1,22,22,22,45,2,22.5,21,24,,,,,,30,1,30,30,30,29,1,29,29,29,80,3,26.66666,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,02M126,PS 126 JACOB AUGUST RIIS,M126,,,,,,25,1,25,25,25,48,2,24,24,24,,,,,,,,,,,29,1,29,29,29,30,1,30,30,30,,,,,,,,,,,30,1,30,30,30,28,1,28,28,28,,,,,,,,,,,25,1,25,25,25,47,2,23.5,22,25,,,,,,,,,,,21,1,21,21,21,46,2,23,22,24,,,,,,,,,,,27,1,27,27,27,54,2,27,26,28,,,,,,30,1,30,30,30,91,3,30.33333,30,31,29,1,29,29,29,81,3,27,26,28,30,1,30,30,30,81,3,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,
41,02M130,PS 130 HERNANDO DE SOTO,M130,25,1,25,25,25,,,,,,108,5,21.6,20,23,,,,,,32,1,32,32,32,,,,,,83,3,27.66666,27,28,,,,,,32,1,32,32,32,23,1,23,23,23,68,3,22.66666,21,24,,,,,,32,1,32,32,32,24,1,24,24,24,96,4,24,22,25,,,,,,60,2,30,28,32,24,1,24,24,24,90,3,30,29,31,,,,,,31,1,31,31,31,25,1,25,25,25,110,4,27.5,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,<6,<6,8,1,8,8,8,,,,,,,,,,,,,,,
42,02M131,MS 131,M131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,28,28,28,89,4,22.25,<15,31,28,1,28,28,28,129,5,25.8,21,29,22,1,22,22,22,103,4,25.75,18,31,,,,,,37,3,12.33333,12,13,,,,,,,,,,,,,,,
43,02M150,PS 150,M150,,,,,,,,,,,29,1,29,29,29,,,,,,,,,,,,,,,,30,1,30,30,30,,,,,,,,,,,,,,,,28,1,28,28,28,,,,,,,,,,,,,,,,30,1,30,30,30,,,,,,,,,,,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,02M151,YORKVILLE COMMUNITY SCHOOL,M151,,,,,,23,1,23,23,23,44,2,22,22,22,,,,,,,,,,,42,2,21,21,21,42,2,21,21,21,,,,,,,,,,,49,2,24.5,24,25,27,1,27,27,27,,,,,,,,,,,71,3,23.66666,22,25,,,,,,,,,,,,,,,,71,3,23.66666,23,25,23,1,23,23,23,,,,,,,,,,,56,2,28,27,29,26,1,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,02M158,PS 158 BAYARD TAYLOR,M158,,,,,,21,1,21,21,21,118,5,23.6,23,25,,,,,,,,,,,31,1,31,31,31,92,3,30.66666,29,32,,,,,,,,,,,57,2,28.5,28,29,57,2,28.5,28,29,,,,,,,,,,,66,2,33,33,33,65,2,32.5,32,33,,,,,,,,,,,54,2,27,27,27,53,2,26.5,26,27,,,,,,,,,,,55,2,27.5,27,28,51,2,25.5,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,02M167,JHS 167 ROBERT F WAGNER,M167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,4,30,28,31,328,11,29.81818,21,33,146,5,29.2,27,31,310,10,31,26,33,152,5,30.4,28,32,274,9,30.44444,27,33,,,,,,,,,,,,,,,,,,,,,,,,,
47,02M177,YORKVILLE EAST MIDDLE SCHOOL,M177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,25,24,26,25,1,25,25,25,51,2,25.5,25,26,25,1,25,25,25,55,2,27.5,26,29,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,
48,02M183,PS 183 ROBERT L STEVENSON,M183,,,,,,25,1,25,25,25,77,3,25.66666,25,26,,,,,,,,,,,27,1,27,27,27,80,3,26.66666,25,28,,,,,,,,,,,32,1,32,32,32,64,2,32,32,32,,,,,,,,,,,29,1,29,29,29,55,2,27.5,27,28,,,,,,,,,,,24,1,24,24,24,49,2,24.5,24,25,,,,,,,,,,,29,1,29,29,29,56,2,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,02M198,PS 198 ISADOR E IDA STRAUS,M198,25,1,25,25,25,23,1,23,23,23,23,1,23,23,23,,,,,,24,1,24,24,24,22,1,22,22,22,21,1,21,21,21,,,,,,30,1,30,30,30,57,2,28.5,28,29,,,,,,,,,,,25,1,25,25,25,32,1,32,32,32,,,,,,,,,,,29,1,29,29,29,32,1,32,32,32,,,,,,,,,,,19,1,19,19,19,24,1,24,24,24,24,1,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,02M212,PS 212 MIDTOWN WEST,M212,,,,,,,,,,,53,2,26.5,25,28,,,,,,,,,,,,,,,,57,2,28.5,28,29,,,,,,,,,,,,,,,,54,2,27,26,28,,,,,,,,,,,,,,,,56,2,28,28,28,,,,,,,,,,,,,,,,53,2,26.5,26,27,,,,,,,,,,,,,,,,57,2,28.5,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,02M217,PS/IS 217 ROOSEVELT ISLAND,M217,25,1,25,25,25,,,,,,72,3,24,23,25,,,,,,31,1,31,31,31,,,,,,48,2,24,23,25,,,,,,32,1,32,32,32,,,,,,47,2,23.5,22,25,,,,,,32,1,32,32,32,,,,,,53,2,26.5,24,29,,,,,,50,2,25,23,27,,,,,,51,2,25.5,25,26,,,,,,26,1,26,26,26,,,,,,32,1,32,32,32,,,,,,,,,,,32,1,32,32,32,,,,,,22,1,22,22,22,,,,,,21,1,21,21,21,4,1,4,<6,<6,,,,,,,,,,,,,,,,,,,,
52,02M225,ELLA BAKER SCHOOL,M225,,,,,,23,1,23,23,23,22,1,22,22,22,,,,,,,,,,,9,1,9,<15,<15,22,2,11,<15,<15,,,,,,,,,,,13,1,13,<15,<15,23,2,11.5,<15,<15,,,,,,,,,,,12,1,12,<15,<15,26,2,13,<15,<15,,,,,,,,,,,12,1,12,<15,<15,20,2,10,<15,<15,,,,,,,,,,,39,2,19.5,19,20,,,,,,,,,,,,,,,,7,1,7,<15,<15,24,2,12,<15,<15,,,,,,21,2,10.5,<15,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,02M234,PS 234 INDEPENDENCE SCHOOL,M234,,,,,,23,1,23,23,23,84,4,21,19,23,,,,,,,,,,,54,2,27,27,27,47,2,23.5,22,25,,,,,,,,,,,24,1,24,24,24,97,4,24.25,23,25,,,,,,,,,,,52,2,26,25,27,54,2,27,27,27,,,,,,,,,,,25,1,25,25,25,74,3,24.66666,24,26,,,,,,,,,,,53,2,26.5,25,28,54,2,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,02M255,MS 255 SALK SCHOOL OF SCIENCE,M255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,2,32.5,32,33,65,2,32.5,32,33,64,2,32,32,32,64,2,32,31,33,64,2,32,32,32,64,2,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,
55,02M260,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,M260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,32,32,32,65,2,32.5,32,33,33,1,33,33,33,66,2,33,33,33,34,1,34,34,34,63,2,31.5,31,32,,,,,,,,,,,,,,,,,,,,,,,,,
56,02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",M267,,,,,,22,1,22,22,22,71,3,23.66666,23,24,,,,,,,,,,,26,1,26,26,26,52,2,26,26,26,,,,,,,,,,,23,1,23,23,23,48,2,24,23,25,,,,,,,,,,,26,1,26,26,26,26,1,26,26,26,,,,,,,,,,,27,1,27,27,27,27,1,27,27,27,,,,,,,,,,,24,1,24,24,24,26,1,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,02M276,BATTERY PARK CITY SCHOOL,M276,,,,,,24,1,24,24,24,71,3,23.66666,22,25,,,,,,,,,,,67,3,22.33333,22,23,23,1,23,23,23,,,,,,,,,,,29,1,29,29,29,58,2,29,28,30,,,,,,,,,,,60,2,30,30,30,30,1,30,30,30,,,,,,,,,,,59,2,29.5,29,30,28,1,28,28,28,,,,,,,,,,,28,1,28,28,28,75,3,25,23,27,,,,,,66,2,33,32,34,34,1,34,34,34,61,2,30.5,30,31,30,1,30,30,30,60,2,30,29,31,24,1,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,
58,02M281,THE RIVER SCHOOL,M281,,,,,,20,1,20,20,20,65,3,21.66666,21,23,,,,,,,,,,,54,2,27,27,27,,,,,,,,,,,,,,,,18,1,18,18,18,20,1,20,20,20,,,,,,,,,,,27,1,27,27,27,,,,,,,,,,,,,,,,32,1,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,02M289,IS 289,M289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2,33,33,33,33,1,33,33,33,32,1,32,32,32,61,2,30.5,30,31,32,1,32,32,32,59,2,29.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,
60,02M290,PS 290 MANHATTAN NEW SCHOOL,M290,,,,,,22,1,22,22,22,92,4,23,22,24,,,,,,,,,,,33,1,33,33,33,61,2,30.5,29,32,,,,,,,,,,,27,1,27,27,27,78,3,26,25,27,,,,,,,,,,,32,1,32,32,32,61,2,30.5,30,31,,,,,,,,,,,26,1,26,26,26,70,3,23.33333,21,25,,,,,,,,,,,27,1,27,27,27,59,2,29.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,02M297,MS 297,M297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2,30.5,29,32,131,4,32.75,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,M312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,4,32.5,32,33,66,2,33,33,33,89,3,29.66666,29,31,88,3,29.33333,29,30,181,6,30.16666,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,02M340,SIXTH AVENUE ELEMENTARY SCHOOL,M340,,,,,,23,1,23,23,23,44,2,22,21,23,,,,,,,,,,,21,1,21,21,21,42,2,21,21,21,,,,,,,,,,,23,1,23,23,23,18,1,18,18,18,,,,,,,,,,,,,,,,35,2,17.5,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,02M343,THE PECK SLIP SCHOOL,M343,,,,,,24,1,24,24,24,73,3,24.33333,23,25,,,,,,,,,,,28,1,28,28,28,57,2,28.5,28,29,,,,,,,,,,,26,1,26,26,26,44,2,22,21,23,,,,,,,,,,,40,2,20,18,22,21,1,21,21,21,,,,,,,,,,,27,1,27,27,27,24,1,24,24,24,,,,,,,,,,,21,1,21,21,21,21,1,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,M347,,,,,,31,2,15.5,15,16,,,,,,,,,,,,,,,,16,1,16,16,16,,,,,,,,,,,,,,,,20,1,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,15,15,15,,,,,,,,,,,12,1,12,<15,<15,,,,,,17,1,17,17,17,,,,,,10,1,10,<15,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,02M397,SPRUCE STREET SCHOOL,M397,,,,,,23,1,23,23,23,45,2,22.5,22,23,,,,,,,,,,,23,1,23,23,23,46,2,23,23,23,,,,,,,,,,,30,1,30,30,30,31,1,31,31,31,,,,,,,,,,,28,1,28,28,28,26,1,26,26,26,,,,,,,,,,,22,1,22,22,22,26,1,26,26,26,,,,,,,,,,,24,1,24,24,24,22,1,22,22,22,,,,,,30,1,30,30,30,32,1,32,32,32,30,1,30,30,30,28,1,28,28,28,28,1,28,28,28,27,1,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,
67,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,M407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3,21.33333,21,22,,,,,,68,3,22.66666,21,25,,,,,,75,3,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,
68,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,M408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,27,27,27,30,1,30,30,30,,,,,,31,1,31,31,31,,,,,,33,1,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,
69,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,M413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,2,26,24,28,52,2,26,26,26,50,2,25,22,28,55,2,27.5,26,29,56,2,28,27,29,46,2,23,21,25,,,,,,,,,,,,,,,,,,,,,,,,,
70,02M422,QUEST TO LEARN,M422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2,26.5,25,28,,,,,,69,3,23,21,26,,,,,,91,3,30.33333,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",M442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2,18.5,18,19,,,,,,,,,,,,,,,,37,2,18.5,17,20,,,,,,,,,,,19,1,19,19,19,,,,,,23,1,23,23,23,,,,,,25,1,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,
72,02M527,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,M527,,,,,,22,1,22,22,22,68,3,22.66666,22,23,,,,,,,,,,,23,1,23,23,23,47,2,23.5,23,24,,,,,,,,,,,23,1,23,23,23,46,2,23,23,23,,,,,,,,,,,56,2,28,27,29,,,,,,,,,,,,,,,,49,2,24.5,24,25,,,,,,,,,,,,,,,,53,2,26.5,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,02M655,LIFE SCIENCES SECONDARY SCHOOL,M655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,11,<15,<15,,,,,,22,1,22,22,22,,,,,,21,1,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
